Unnamed: 0,PC1,PC2,PC3
42,,,
404,,,
1337,,,
BTC,,,
ETH,,,
LTC,,,
DASH,,,
XMR,,,
ETC,,,
ZEC,,,
BTS,,,
DGB,,,
BTCD,,,
XPY,,,
PRC,,,
KOBO,,,
SPR,,,
ARG,,,
AUR,,,
BLU,,,
XMY,,,
MOON,,,
ZET,,,
SXC,,,
QTL,,,
ENRG,,,
QRK,,,
RIC,,,
DGC,,,
BTB,,,
CAT,,,
CBX,,,
CCN,,,
CRYPT,,,
CSC,,,
DMD,,,
XVG,,,
DVC,,,
EAC,,,
EFL,,,
EMC2,,,
EMD,,,
EXCL,,,
FLT,,,
FRK,,,
FTC,,,
GDC,,,
GLC,,,
GLD,,,
HBN,,,
HYP,,,
IFC,,,
IOC,,,
IXC,,,
KGC,,,
LKY,,,
LTB,,,
MAX,,,
MEC,,,
MED,,,
MINT,,,
MINC,,,
MZC,,,
NAUT,,,
NAV,,,
NOBL,,,
NMC,,,
NYAN,,,
OPAL,,,
ORB,,,
POT,,,
PXC,,,
RDD,,,
RPC,,,
SBC,,,
SMC,,,
SUPER,,,
SYNC,,,
SYS,,,
TES,,,
TGC,,,
TIT,,,
TOR,,,
TRC,,,
UNB,,,
UNO,,,
URO,,,
USDE,,,
UTC,,,
VIA,,,
VRC,,,
VTC,,,
WDC,,,
XC,,,
XCR,,,
XJO,,,
XST,,,
ZCC,,,
BCN,,,
XDN,,,
BURST,,,
SJCX,,,
MONA,,,
NTRN,,,
FAIR,,,
NLG,,,
RBY,,,
PTC,,,
KORE,,,
WBB,,,
NOTE,,,
FLO,,,
8BIT,,,
STV,,,
ABY,,,
FLDC,,,
U,,,
UIS,,,
CYP,,,
OMC,,,
VTR,,,
GRE,,,
XCN,,,
MSC,,,
SOON,,,
1CR,,,
ISL,,,
NXS,,,
MARS,,,
CTO,,,
ACP,,,
DRZ,,,
BSC,,,
SQL,,,
SONG,,,
ZNY,,,
DIGS,,,
EXP,,,
CON,,,
SC,,,
EMC,,,
EGC,,,
MND,,,
I0C,,,
DCR,,,
RVR,,,
HODL,,,
EDRC,,,
HTC,,,
GAME,,,
DBIC,,,
DIEM,,,
PWR,,,
BLRY,,,
GPU,,,
ADZ,,,
SOIL,,,
YOC,,,
SIB,,,
ERC,,,
ZEIT,,,
SWING,,,
SAFEX,,,
NEBU,,,
FRN,,,
BOLI,,,
XRA,,,
REV,,,
CKC,,,
VIP,,,
BSD,,,
OMNI,,,
LIR,,,
PUT,,,
IBANK,,,
FRWC,,,
MUDRA,,,
PIZZA,,,
LC,,,
KMD,,,
GB,,,
CTC,,,
KRB,,,
BXT,,,
ZYD,,,
MST,,,
ZNE,,,
COVAL,,,
ROOT,,,
DOPE,,,
BTCR,,,
DLC,,,
SCN,,,
SH,,,
BUZZ,,,
XPO,,,
PSB,,,
HALLO,,,
XZC,,,
CFC,,,
ROYAL,,,
GNJ,,,
TEAM,,,
